データ,ε,α,γ,学習回数,ステップ数
ε:0.90 α:0.60 γ:0.80 学習回数:10 ステップ数:22,0.9,0.6,0.8,10,22
ε:0.90 α:0.80 γ:0.20 学習回数:10 ステップ数:22,0.9,0.8,0.2,10,22
ε:0.60 α:0.70 γ:0.40 学習回数:10 ステップ数:22,0.6,0.7,0.4,10,22
ε:0.60 α:0.60 γ:0.80 学習回数:10 ステップ数:22,0.6,0.6,0.8,10,22
ε:0.90 α:0.60 γ:0.40 学習回数:10 ステップ数:22,0.9,0.6,0.4,10,22
ε:0.90 α:0.80 γ:0.30 学習回数:10 ステップ数:22,0.9,0.8,0.3,10,22
ε:0.50 α:0.60 γ:0.80 学習回数:10 ステップ数:22,0.5,0.6,0.8,10,22
ε:0.90 α:0.50 γ:0.20 学習回数:10 ステップ数:22,0.9,0.5,0.2,10,22
ε:0.50 α:0.70 γ:0.40 学習回数:10 ステップ数:22,0.5,0.7,0.4,10,22
ε:0.50 α:0.60 γ:0.80 学習回数:10 ステップ数:22,0.5,0.6,0.8,10,22
ε:0.60 α:0.30 γ:0.90 学習回数:10 ステップ数:22,0.6,0.3,0.9,10,22
ε:0.50 α:0.50 γ:0.40 学習回数:10 ステップ数:22,0.5,0.5,0.4,10,22
ε:0.50 α:0.30 γ:0.60 学習回数:10 ステップ数:22,0.5,0.3,0.6,10,22
ε:0.50 α:0.60 γ:0.60 学習回数:10 ステップ数:22,0.5,0.6,0.6,10,22
ε:0.50 α:0.80 γ:0.20 学習回数:10 ステップ数:22,0.5,0.8,0.2,10,22
ε:0.50 α:0.50 γ:0.50 学習回数:10 ステップ数:22,0.5,0.5,0.5,10,22
ε:0.70 α:0.60 γ:0.20 学習回数:10 ステップ数:22,0.7,0.6,0.2,10,22
ε:0.70 α:0.50 γ:0.80 学習回数:10 ステップ数:22,0.7,0.5,0.8,10,22
ε:0.80 α:0.40 γ:0.50 学習回数:10 ステップ数:22,0.8,0.4,0.5,10,22
ε:0.80 α:0.80 γ:0.10 学習回数:10 ステップ数:22,0.8,0.8,0.1,10,22
ε:0.80 α:0.40 γ:0.50 学習回数:10 ステップ数:22,0.8,0.4,0.5,10,22
ε:0.80 α:0.80 γ:0.20 学習回数:10 ステップ数:22,0.8,0.8,0.2,10,22
ε:0.90 α:0.50 γ:0.20 学習回数:10 ステップ数:22,0.9,0.5,0.2,10,22
ε:0.70 α:0.80 γ:0.30 学習回数:10 ステップ数:22,0.7,0.8,0.3,10,22
ε:0.70 α:0.70 γ:0.70 学習回数:10 ステップ数:22,0.7,0.7,0.7,10,22
ε:0.90 α:0.90 γ:0.40 学習回数:10 ステップ数:22,0.9,0.9,0.4,10,22
ε:0.40 α:0.60 γ:0.20 学習回数:10 ステップ数:22,0.4,0.6,0.2,10,22
ε:0.40 α:0.60 γ:0.50 学習回数:10 ステップ数:22,0.4,0.6,0.5,10,22
ε:0.90 α:0.90 γ:0.10 学習回数:10 ステップ数:22,0.9,0.9,0.1,10,22
ε:0.70 α:0.90 γ:0.40 学習回数:10 ステップ数:22,0.7,0.9,0.4,10,22
ε:0.70 α:0.40 γ:0.40 学習回数:10 ステップ数:22,0.7,0.4,0.4,10,22
ε:0.70 α:0.60 γ:0.50 学習回数:10 ステップ数:22,0.7,0.6,0.5,10,22
ε:0.70 α:0.60 γ:0.40 学習回数:10 ステップ数:22,0.7,0.6,0.4,10,22
ε:0.70 α:0.50 γ:0.90 学習回数:10 ステップ数:22,0.7,0.5,0.9,10,22
ε:0.70 α:0.50 γ:0.10 学習回数:10 ステップ数:22,0.7,0.5,0.1,10,22
ε:0.60 α:0.90 γ:0.70 学習回数:10 ステップ数:22,0.6,0.9,0.7,10,22
ε:0.60 α:0.90 γ:0.60 学習回数:10 ステップ数:22,0.6,0.9,0.6,10,22
ε:0.80 α:0.60 γ:0.90 学習回数:10 ステップ数:22,0.8,0.6,0.9,10,22
ε:0.60 α:0.70 γ:0.90 学習回数:10 ステップ数:22,0.6,0.7,0.9,10,22
ε:0.70 α:0.60 γ:0.30 学習回数:10 ステップ数:22,0.7,0.6,0.3,10,22
ε:0.80 α:0.60 γ:0.20 学習回数:10 ステップ数:22,0.8,0.6,0.2,10,22
ε:0.80 α:0.70 γ:0.10 学習回数:10 ステップ数:22,0.8,0.7,0.1,10,22
ε:0.70 α:0.80 γ:0.20 学習回数:10 ステップ数:22,0.7,0.8,0.2,10,22
ε:0.80 α:0.60 γ:0.20 学習回数:10 ステップ数:22,0.8,0.6,0.2,10,22
ε:0.80 α:0.40 γ:0.80 学習回数:10 ステップ数:22,0.8,0.4,0.8,10,22
ε:0.60 α:0.70 γ:0.20 学習回数:10 ステップ数:22,0.6,0.7,0.2,10,22
ε:0.40 α:0.60 γ:0.80 学習回数:10 ステップ数:22,0.4,0.6,0.8,10,22
ε:0.60 α:0.70 γ:0.50 学習回数:10 ステップ数:22,0.6,0.7,0.5,10,22
ε:0.60 α:0.60 γ:0.10 学習回数:10 ステップ数:22,0.6,0.6,0.1,10,22
ε:0.50 α:0.70 γ:0.90 学習回数:10 ステップ数:22,0.5,0.7,0.9,10,22
ε:0.90 α:0.30 γ:0.90 学習回数:10 ステップ数:22,0.9,0.3,0.9,10,22
ε:0.80 α:0.60 γ:0.80 学習回数:10 ステップ数:22,0.8,0.6,0.8,10,22
ε:0.60 α:0.50 γ:0.60 学習回数:10 ステップ数:22,0.6,0.5,0.6,10,22
ε:0.50 α:0.90 γ:0.10 学習回数:11 ステップ数:22,0.5,0.9,0.1,11,22
ε:0.90 α:0.90 γ:0.40 学習回数:11 ステップ数:22,0.9,0.9,0.4,11,22
ε:0.50 α:0.50 γ:0.50 学習回数:11 ステップ数:22,0.5,0.5,0.5,11,22
ε:0.40 α:0.90 γ:0.50 学習回数:11 ステップ数:22,0.4,0.9,0.5,11,22
ε:0.40 α:0.50 γ:0.50 学習回数:11 ステップ数:22,0.4,0.5,0.5,11,22
ε:0.40 α:0.80 γ:0.20 学習回数:11 ステップ数:22,0.4,0.8,0.2,11,22
ε:0.40 α:0.50 γ:0.70 学習回数:11 ステップ数:22,0.4,0.5,0.7,11,22
ε:0.30 α:0.90 γ:0.80 学習回数:11 ステップ数:22,0.3,0.9,0.8,11,22
ε:0.80 α:0.60 γ:0.70 学習回数:11 ステップ数:22,0.8,0.6,0.7,11,22
ε:0.50 α:0.90 γ:0.50 学習回数:11 ステップ数:22,0.5,0.9,0.5,11,22
ε:0.70 α:0.70 γ:0.50 学習回数:11 ステップ数:22,0.7,0.7,0.5,11,22
ε:0.70 α:0.90 γ:0.90 学習回数:11 ステップ数:22,0.7,0.9,0.9,11,22
ε:0.70 α:0.40 γ:0.70 学習回数:11 ステップ数:22,0.7,0.4,0.7,11,22
ε:0.80 α:0.70 γ:0.10 学習回数:11 ステップ数:22,0.8,0.7,0.1,11,22
ε:0.70 α:0.80 γ:0.70 学習回数:11 ステップ数:22,0.7,0.8,0.7,11,22
ε:0.30 α:0.90 γ:0.40 学習回数:11 ステップ数:22,0.3,0.9,0.4,11,22
ε:0.70 α:0.50 γ:0.30 学習回数:11 ステップ数:22,0.7,0.5,0.3,11,22
ε:0.90 α:0.40 γ:0.90 学習回数:11 ステップ数:22,0.9,0.4,0.9,11,22
ε:0.60 α:0.80 γ:0.90 学習回数:11 ステップ数:22,0.6,0.8,0.9,11,22
ε:0.60 α:0.40 γ:0.80 学習回数:11 ステップ数:22,0.6,0.4,0.8,11,22
ε:0.90 α:0.60 γ:0.60 学習回数:11 ステップ数:22,0.9,0.6,0.6,11,22
ε:0.70 α:0.60 γ:0.90 学習回数:11 ステップ数:22,0.7,0.6,0.9,11,22
ε:0.70 α:0.70 γ:0.30 学習回数:11 ステップ数:22,0.7,0.7,0.3,11,22
ε:0.70 α:0.50 γ:0.70 学習回数:11 ステップ数:22,0.7,0.5,0.7,11,22
ε:0.50 α:0.80 γ:0.60 学習回数:11 ステップ数:22,0.5,0.8,0.6,11,22
ε:0.50 α:0.80 γ:0.80 学習回数:11 ステップ数:22,0.5,0.8,0.8,11,22
ε:0.50 α:0.70 γ:0.60 学習回数:11 ステップ数:22,0.5,0.7,0.6,11,22
ε:0.40 α:0.90 γ:0.60 学習回数:11 ステップ数:22,0.4,0.9,0.6,11,22
ε:0.40 α:0.90 γ:0.70 学習回数:11 ステップ数:22,0.4,0.9,0.7,11,22
ε:0.40 α:0.90 γ:0.90 学習回数:11 ステップ数:22,0.4,0.9,0.9,11,22
ε:0.40 α:0.70 γ:0.50 学習回数:11 ステップ数:22,0.4,0.7,0.5,11,22
ε:0.70 α:0.50 γ:0.80 学習回数:11 ステップ数:22,0.7,0.5,0.8,11,22
ε:0.60 α:0.20 γ:0.80 学習回数:11 ステップ数:22,0.6,0.2,0.8,11,22
ε:0.60 α:0.50 γ:0.20 学習回数:11 ステップ数:22,0.6,0.5,0.2,11,22
ε:0.60 α:0.60 γ:0.60 学習回数:11 ステップ数:22,0.6,0.6,0.6,11,22
ε:0.60 α:0.50 γ:0.80 学習回数:11 ステップ数:22,0.6,0.5,0.8,11,22
ε:0.90 α:0.30 γ:0.80 学習回数:11 ステップ数:22,0.9,0.3,0.8,11,22
ε:0.90 α:0.40 γ:0.40 学習回数:11 ステップ数:22,0.9,0.4,0.4,11,22
ε:0.90 α:0.30 γ:0.50 学習回数:11 ステップ数:22,0.9,0.3,0.5,11,22
ε:0.60 α:0.50 γ:0.50 学習回数:11 ステップ数:22,0.6,0.5,0.5,11,22
ε:0.60 α:0.70 γ:0.30 学習回数:11 ステップ数:22,0.6,0.7,0.3,11,22
ε:0.70 α:0.30 γ:0.90 学習回数:11 ステップ数:22,0.7,0.3,0.9,11,22
ε:0.90 α:0.80 γ:0.90 学習回数:11 ステップ数:22,0.9,0.8,0.9,11,22
ε:0.70 α:0.60 γ:0.30 学習回数:11 ステップ数:22,0.7,0.6,0.3,11,22
ε:0.90 α:0.70 γ:0.90 学習回数:11 ステップ数:22,0.9,0.7,0.9,11,22
ε:0.60 α:0.80 γ:0.10 学習回数:11 ステップ数:22,0.6,0.8,0.1,11,22
ε:0.80 α:0.90 γ:0.10 学習回数:11 ステップ数:22,0.8,0.9,0.1,11,22
ε:0.60 α:0.70 γ:0.60 学習回数:11 ステップ数:22,0.6,0.7,0.6,11,22
ε:0.90 α:0.30 γ:0.60 学習回数:11 ステップ数:22,0.9,0.3,0.6,11,22
ε:0.80 α:0.50 γ:0.40 学習回数:11 ステップ数:22,0.8,0.5,0.4,11,22
ε:0.50 α:0.80 γ:0.10 学習回数:11 ステップ数:22,0.5,0.8,0.1,11,22
ε:0.40 α:0.40 γ:0.70 学習回数:11 ステップ数:22,0.4,0.4,0.7,11,22
ε:0.70 α:0.20 γ:0.60 学習回数:11 ステップ数:22,0.7,0.2,0.6,11,22
ε:0.90 α:0.30 γ:0.20 学習回数:11 ステップ数:22,0.9,0.3,0.2,11,22
ε:0.60 α:0.80 γ:0.40 学習回数:11 ステップ数:22,0.6,0.8,0.4,11,22
ε:0.70 α:0.90 γ:0.60 学習回数:12 ステップ数:22,0.7,0.9,0.6,12,22
ε:0.60 α:0.10 γ:0.70 学習回数:12 ステップ数:22,0.6,0.1,0.7,12,22
ε:0.70 α:0.70 γ:0.20 学習回数:12 ステップ数:22,0.7,0.7,0.2,12,22
ε:0.50 α:0.90 γ:0.70 学習回数:12 ステップ数:22,0.5,0.9,0.7,12,22
ε:0.80 α:0.70 γ:0.90 学習回数:12 ステップ数:22,0.8,0.7,0.9,12,22
ε:0.70 α:0.90 γ:0.10 学習回数:12 ステップ数:22,0.7,0.9,0.1,12,22
ε:0.80 α:0.40 γ:0.90 学習回数:12 ステップ数:22,0.8,0.4,0.9,12,22
ε:0.70 α:0.90 γ:0.30 学習回数:12 ステップ数:22,0.7,0.9,0.3,12,22
ε:0.70 α:0.70 γ:0.70 学習回数:12 ステップ数:22,0.7,0.7,0.7,12,22
ε:0.90 α:0.50 γ:0.70 学習回数:12 ステップ数:22,0.9,0.5,0.7,12,22
ε:0.80 α:0.20 γ:0.90 学習回数:12 ステップ数:22,0.8,0.2,0.9,12,22
ε:0.50 α:0.10 γ:0.80 学習回数:12 ステップ数:22,0.5,0.1,0.8,12,22
ε:0.50 α:0.40 γ:0.90 学習回数:12 ステップ数:22,0.5,0.4,0.9,12,22
ε:0.90 α:0.40 γ:0.50 学習回数:12 ステップ数:22,0.9,0.4,0.5,12,22
ε:0.30 α:0.30 γ:0.90 学習回数:12 ステップ数:22,0.3,0.3,0.9,12,22
ε:0.70 α:0.40 γ:0.90 学習回数:12 ステップ数:22,0.7,0.4,0.9,12,22
ε:0.80 α:0.50 γ:0.60 学習回数:12 ステップ数:22,0.8,0.5,0.6,12,22
ε:0.90 α:0.40 γ:0.60 学習回数:12 ステップ数:22,0.9,0.4,0.6,12,22
ε:0.70 α:0.50 γ:0.50 学習回数:12 ステップ数:22,0.7,0.5,0.5,12,22
ε:0.50 α:0.60 γ:0.70 学習回数:12 ステップ数:22,0.5,0.6,0.7,12,22
ε:0.50 α:0.90 γ:0.40 学習回数:12 ステップ数:22,0.5,0.9,0.4,12,22
ε:0.60 α:0.10 γ:0.70 学習回数:12 ステップ数:22,0.6,0.1,0.7,12,22
ε:0.50 α:0.80 γ:0.40 学習回数:12 ステップ数:22,0.5,0.8,0.4,12,22
ε:0.40 α:0.20 γ:0.90 学習回数:12 ステップ数:22,0.4,0.2,0.9,12,22
ε:0.90 α:0.90 γ:0.60 学習回数:12 ステップ数:22,0.9,0.9,0.6,12,22
ε:0.80 α:0.80 γ:0.60 学習回数:12 ステップ数:22,0.8,0.8,0.6,12,22
ε:0.40 α:0.70 γ:0.90 学習回数:12 ステップ数:22,0.4,0.7,0.9,12,22
ε:0.20 α:0.50 γ:0.20 学習回数:12 ステップ数:22,0.2,0.5,0.2,12,22
ε:0.80 α:0.50 γ:0.80 学習回数:12 ステップ数:22,0.8,0.5,0.8,12,22
ε:0.40 α:0.80 γ:0.60 学習回数:12 ステップ数:22,0.4,0.8,0.6,12,22
ε:0.90 α:0.90 γ:0.30 学習回数:12 ステップ数:22,0.9,0.9,0.3,12,22
ε:0.50 α:0.50 γ:0.80 学習回数:12 ステップ数:22,0.5,0.5,0.8,12,22
ε:0.80 α:0.40 γ:0.60 学習回数:12 ステップ数:22,0.8,0.4,0.6,12,22
ε:0.60 α:0.80 γ:0.30 学習回数:12 ステップ数:22,0.6,0.8,0.3,12,22
ε:0.80 α:0.90 γ:0.90 学習回数:12 ステップ数:22,0.8,0.9,0.9,12,22
ε:0.60 α:0.30 γ:0.80 学習回数:12 ステップ数:22,0.6,0.3,0.8,12,22
ε:0.50 α:0.50 γ:0.60 学習回数:12 ステップ数:22,0.5,0.5,0.6,12,22
ε:0.50 α:0.60 γ:0.30 学習回数:12 ステップ数:22,0.5,0.6,0.3,12,22
ε:0.50 α:0.60 γ:0.10 学習回数:12 ステップ数:22,0.5,0.6,0.1,12,22
ε:0.70 α:0.10 γ:0.80 学習回数:12 ステップ数:22,0.7,0.1,0.8,12,22
ε:0.40 α:0.50 γ:0.60 学習回数:12 ステップ数:22,0.4,0.5,0.6,12,22
ε:0.90 α:0.50 γ:0.70 学習回数:12 ステップ数:22,0.9,0.5,0.7,12,22
ε:0.80 α:0.90 γ:0.20 学習回数:12 ステップ数:22,0.8,0.9,0.2,12,22
ε:0.60 α:0.90 γ:0.10 学習回数:12 ステップ数:22,0.6,0.9,0.1,12,22
ε:0.60 α:0.60 γ:0.40 学習回数:12 ステップ数:22,0.6,0.6,0.4,12,22
ε:0.90 α:0.70 γ:0.50 学習回数:12 ステップ数:22,0.9,0.7,0.5,12,22
ε:0.90 α:0.70 γ:0.70 学習回数:12 ステップ数:22,0.9,0.7,0.7,12,22
ε:0.90 α:0.80 γ:0.10 学習回数:12 ステップ数:22,0.9,0.8,0.1,12,22
ε:0.50 α:0.20 γ:0.20 学習回数:12 ステップ数:22,0.5,0.2,0.2,12,22
ε:0.40 α:0.90 γ:0.80 学習回数:12 ステップ数:22,0.4,0.9,0.8,12,22
ε:0.50 α:0.30 γ:0.80 学習回数:12 ステップ数:22,0.5,0.3,0.8,12,22
ε:0.50 α:0.30 γ:0.50 学習回数:12 ステップ数:22,0.5,0.3,0.5,12,22
ε:0.60 α:0.40 γ:0.40 学習回数:12 ステップ数:22,0.6,0.4,0.4,12,22
ε:0.60 α:0.30 γ:0.70 学習回数:13 ステップ数:22,0.6,0.3,0.7,13,22
ε:0.60 α:0.40 γ:0.50 学習回数:13 ステップ数:22,0.6,0.4,0.5,13,22
ε:0.40 α:0.90 γ:0.70 学習回数:13 ステップ数:22,0.4,0.9,0.7,13,22
ε:0.90 α:0.70 γ:0.40 学習回数:13 ステップ数:22,0.9,0.7,0.4,13,22
ε:0.90 α:0.70 γ:0.30 学習回数:13 ステップ数:22,0.9,0.7,0.3,13,22
ε:0.70 α:0.40 γ:0.10 学習回数:13 ステップ数:22,0.7,0.4,0.1,13,22
ε:0.70 α:0.30 γ:0.70 学習回数:13 ステップ数:22,0.7,0.3,0.7,13,22
ε:0.90 α:0.90 γ:0.10 学習回数:13 ステップ数:22,0.9,0.9,0.1,13,22
ε:0.60 α:0.90 γ:0.60 学習回数:13 ステップ数:22,0.6,0.9,0.6,13,22
ε:0.80 α:0.70 γ:0.70 学習回数:13 ステップ数:22,0.8,0.7,0.7,13,22
ε:0.90 α:0.50 γ:0.80 学習回数:13 ステップ数:22,0.9,0.5,0.8,13,22
ε:0.60 α:0.60 γ:0.20 学習回数:13 ステップ数:22,0.6,0.6,0.2,13,22
ε:0.90 α:0.50 γ:0.90 学習回数:13 ステップ数:22,0.9,0.5,0.9,13,22
ε:0.90 α:0.20 γ:0.80 学習回数:13 ステップ数:22,0.9,0.2,0.8,13,22
ε:0.90 α:0.90 γ:0.70 学習回数:13 ステップ数:22,0.9,0.9,0.7,13,22
ε:0.60 α:0.90 γ:0.30 学習回数:13 ステップ数:22,0.6,0.9,0.3,13,22
ε:0.50 α:0.60 γ:0.40 学習回数:13 ステップ数:22,0.5,0.6,0.4,13,22
ε:0.90 α:0.70 γ:0.50 学習回数:13 ステップ数:22,0.9,0.7,0.5,13,22
ε:0.70 α:0.40 γ:0.20 学習回数:13 ステップ数:22,0.7,0.4,0.2,13,22
ε:0.90 α:0.60 γ:0.70 学習回数:13 ステップ数:22,0.9,0.6,0.7,13,22
ε:0.50 α:0.70 γ:0.20 学習回数:13 ステップ数:22,0.5,0.7,0.2,13,22
ε:0.70 α:0.40 γ:0.80 学習回数:13 ステップ数:22,0.7,0.4,0.8,13,22
ε:0.50 α:0.60 γ:0.30 学習回数:13 ステップ数:22,0.5,0.6,0.3,13,22
ε:0.20 α:0.20 γ:0.20 学習回数:13 ステップ数:22,0.2,0.2,0.2,13,22
ε:0.40 α:0.40 γ:0.80 学習回数:13 ステップ数:22,0.4,0.4,0.8,13,22
ε:0.90 α:0.30 γ:0.50 学習回数:13 ステップ数:22,0.9,0.3,0.5,13,22
ε:0.20 α:0.30 γ:0.60 学習回数:13 ステップ数:22,0.2,0.3,0.6,13,22
ε:0.90 α:0.70 γ:0.90 学習回数:13 ステップ数:22,0.9,0.7,0.9,13,22
ε:0.70 α:0.70 γ:0.10 学習回数:13 ステップ数:22,0.7,0.7,0.1,13,22
ε:0.80 α:0.50 γ:0.60 学習回数:13 ステップ数:22,0.8,0.5,0.6,13,22
ε:0.70 α:0.50 γ:0.20 学習回数:13 ステップ数:22,0.7,0.5,0.2,13,22
ε:0.70 α:0.60 γ:0.10 学習回数:13 ステップ数:22,0.7,0.6,0.1,13,22
ε:0.80 α:0.70 γ:0.20 学習回数:13 ステップ数:22,0.8,0.7,0.2,13,22
ε:0.80 α:0.30 γ:0.60 学習回数:13 ステップ数:22,0.8,0.3,0.6,13,22
ε:0.80 α:0.70 γ:0.60 学習回数:13 ステップ数:22,0.8,0.7,0.6,13,22
ε:0.80 α:0.20 γ:0.70 学習回数:13 ステップ数:22,0.8,0.2,0.7,13,22
ε:0.80 α:0.50 γ:0.10 学習回数:13 ステップ数:22,0.8,0.5,0.1,13,22
ε:0.40 α:0.80 γ:0.70 学習回数:13 ステップ数:22,0.4,0.8,0.7,13,22
ε:0.40 α:0.60 γ:0.80 学習回数:13 ステップ数:22,0.4,0.6,0.8,13,22
ε:0.70 α:0.50 γ:0.70 学習回数:13 ステップ数:22,0.7,0.5,0.7,13,22
ε:0.90 α:0.50 γ:0.50 学習回数:14 ステップ数:22,0.9,0.5,0.5,14,22
ε:0.60 α:0.80 γ:0.20 学習回数:14 ステップ数:22,0.6,0.8,0.2,14,22
ε:0.30 α:0.90 γ:0.80 学習回数:14 ステップ数:22,0.3,0.9,0.8,14,22
ε:0.50 α:0.40 γ:0.70 学習回数:14 ステップ数:22,0.5,0.4,0.7,14,22
ε:0.90 α:0.70 γ:0.10 学習回数:14 ステップ数:22,0.9,0.7,0.1,14,22
ε:0.90 α:0.40 γ:0.30 学習回数:14 ステップ数:22,0.9,0.4,0.3,14,22
ε:0.30 α:0.30 γ:0.50 学習回数:14 ステップ数:22,0.3,0.3,0.5,14,22
ε:0.70 α:0.60 γ:0.80 学習回数:14 ステップ数:22,0.7,0.6,0.8,14,22
ε:0.80 α:0.40 γ:0.80 学習回数:14 ステップ数:22,0.8,0.4,0.8,14,22
ε:0.80 α:0.30 γ:0.30 学習回数:14 ステップ数:22,0.8,0.3,0.3,14,22
ε:0.70 α:0.40 γ:0.40 学習回数:14 ステップ数:22,0.7,0.4,0.4,14,22
ε:0.70 α:0.20 γ:0.80 学習回数:14 ステップ数:22,0.7,0.2,0.8,14,22
ε:0.70 α:0.40 γ:0.30 学習回数:14 ステップ数:22,0.7,0.4,0.3,14,22
ε:0.90 α:0.20 γ:0.40 学習回数:14 ステップ数:22,0.9,0.2,0.4,14,22
ε:0.60 α:0.50 γ:0.50 学習回数:14 ステップ数:22,0.6,0.5,0.5,14,22
ε:0.80 α:0.30 γ:0.40 学習回数:14 ステップ数:22,0.8,0.3,0.4,14,22
ε:0.50 α:0.80 γ:0.30 学習回数:14 ステップ数:22,0.5,0.8,0.3,14,22
ε:0.40 α:0.80 γ:0.80 学習回数:14 ステップ数:22,0.4,0.8,0.8,14,22
ε:0.40 α:0.30 γ:0.90 学習回数:14 ステップ数:22,0.4,0.3,0.9,14,22
ε:0.70 α:0.70 γ:0.10 学習回数:14 ステップ数:22,0.7,0.7,0.1,14,22
ε:0.80 α:0.80 γ:0.10 学習回数:14 ステップ数:22,0.8,0.8,0.1,14,22
ε:0.30 α:0.70 γ:0.50 学習回数:14 ステップ数:22,0.3,0.7,0.5,14,22
ε:0.60 α:0.40 γ:0.80 学習回数:14 ステップ数:22,0.6,0.4,0.8,14,22
ε:0.60 α:0.90 γ:0.80 学習回数:14 ステップ数:22,0.6,0.9,0.8,14,22
ε:0.70 α:0.80 γ:0.50 学習回数:14 ステップ数:22,0.7,0.8,0.5,14,22
ε:0.70 α:0.60 γ:0.80 学習回数:14 ステップ数:22,0.7,0.6,0.8,14,22
ε:0.40 α:0.80 γ:0.10 学習回数:14 ステップ数:22,0.4,0.8,0.1,14,22
ε:0.70 α:0.70 γ:0.60 学習回数:14 ステップ数:22,0.7,0.7,0.6,14,22
ε:0.60 α:0.40 γ:0.10 学習回数:14 ステップ数:22,0.6,0.4,0.1,14,22
ε:0.60 α:0.50 γ:0.60 学習回数:14 ステップ数:22,0.6,0.5,0.6,14,22
ε:0.90 α:0.70 γ:0.70 学習回数:14 ステップ数:22,0.9,0.7,0.7,14,22
ε:0.20 α:0.80 γ:0.40 学習回数:14 ステップ数:22,0.2,0.8,0.4,14,22
ε:0.30 α:0.80 γ:0.60 学習回数:14 ステップ数:22,0.3,0.8,0.6,14,22
ε:0.20 α:0.60 γ:0.20 学習回数:14 ステップ数:22,0.2,0.6,0.2,14,22
ε:0.50 α:0.50 γ:0.30 学習回数:14 ステップ数:22,0.5,0.5,0.3,14,22
ε:0.80 α:0.80 γ:0.40 学習回数:14 ステップ数:22,0.8,0.8,0.4,14,22
ε:0.70 α:0.50 γ:0.40 学習回数:14 ステップ数:22,0.7,0.5,0.4,14,22
ε:0.20 α:0.50 γ:0.10 学習回数:14 ステップ数:22,0.2,0.5,0.1,14,22
ε:0.40 α:0.80 γ:0.70 学習回数:14 ステップ数:22,0.4,0.8,0.7,14,22
ε:0.80 α:0.70 γ:0.80 学習回数:14 ステップ数:22,0.8,0.7,0.8,14,22
ε:0.80 α:0.50 γ:0.10 学習回数:14 ステップ数:22,0.8,0.5,0.1,14,22
ε:0.50 α:0.70 γ:0.10 学習回数:15 ステップ数:22,0.5,0.7,0.1,15,22
ε:0.40 α:0.20 γ:0.60 学習回数:15 ステップ数:22,0.4,0.2,0.6,15,22
