データ,ε,α,γ,学習回数,ステップ数
ε:0.90 α:0.10 γ:0.90 学習回数:15 ステップ数:22,0.9,0.1,0.9,15,22
ε:0.40 α:0.40 γ:0.90 学習回数:15 ステップ数:22,0.4,0.4,0.9,15,22
ε:0.40 α:0.10 γ:0.80 学習回数:15 ステップ数:22,0.4,0.1,0.8,15,22
ε:0.40 α:0.30 γ:0.90 学習回数:15 ステップ数:22,0.4,0.3,0.9,15,22
ε:0.50 α:0.40 γ:0.30 学習回数:15 ステップ数:22,0.5,0.4,0.3,15,22
ε:0.50 α:0.50 γ:0.20 学習回数:15 ステップ数:22,0.5,0.5,0.2,15,22
ε:0.30 α:0.50 γ:0.20 学習回数:15 ステップ数:22,0.3,0.5,0.2,15,22
ε:0.40 α:0.50 γ:0.30 学習回数:15 ステップ数:22,0.4,0.5,0.3,15,22
ε:0.50 α:0.40 γ:0.20 学習回数:15 ステップ数:22,0.5,0.4,0.2,15,22
ε:0.60 α:0.20 γ:0.50 学習回数:15 ステップ数:22,0.6,0.2,0.5,15,22
ε:0.50 α:0.40 γ:0.90 学習回数:15 ステップ数:22,0.5,0.4,0.9,15,22
ε:0.90 α:0.90 γ:0.50 学習回数:15 ステップ数:22,0.9,0.9,0.5,15,22
ε:0.60 α:0.20 γ:0.40 学習回数:15 ステップ数:22,0.6,0.2,0.4,15,22
ε:0.90 α:0.20 γ:0.50 学習回数:15 ステップ数:22,0.9,0.2,0.5,15,22
ε:0.30 α:0.90 γ:0.60 学習回数:15 ステップ数:22,0.3,0.9,0.6,15,22
ε:0.70 α:0.40 γ:0.50 学習回数:15 ステップ数:22,0.7,0.4,0.5,15,22
ε:0.40 α:0.80 γ:0.30 学習回数:15 ステップ数:22,0.4,0.8,0.3,15,22
ε:0.70 α:0.90 γ:0.90 学習回数:15 ステップ数:22,0.7,0.9,0.9,15,22
ε:0.40 α:0.60 γ:0.10 学習回数:15 ステップ数:22,0.4,0.6,0.1,15,22
ε:0.80 α:0.40 γ:0.30 学習回数:15 ステップ数:22,0.8,0.4,0.3,15,22
ε:0.90 α:0.50 γ:0.10 学習回数:15 ステップ数:22,0.9,0.5,0.1,15,22
ε:0.60 α:0.60 γ:0.70 学習回数:15 ステップ数:22,0.6,0.6,0.7,15,22
ε:0.60 α:0.70 γ:0.70 学習回数:15 ステップ数:22,0.6,0.7,0.7,15,22
ε:0.60 α:0.40 γ:0.50 学習回数:15 ステップ数:22,0.6,0.4,0.5,15,22
ε:0.50 α:0.80 γ:0.50 学習回数:15 ステップ数:22,0.5,0.8,0.5,15,22
ε:0.50 α:0.50 γ:0.30 学習回数:15 ステップ数:22,0.5,0.5,0.3,15,22
ε:0.60 α:0.50 γ:0.80 学習回数:15 ステップ数:22,0.6,0.5,0.8,15,22
ε:0.70 α:0.80 γ:0.10 学習回数:15 ステップ数:22,0.7,0.8,0.1,15,22
ε:0.90 α:0.80 γ:0.50 学習回数:15 ステップ数:22,0.9,0.8,0.5,15,22
ε:0.80 α:0.40 γ:0.20 学習回数:15 ステップ数:22,0.8,0.4,0.2,15,22
ε:0.40 α:0.60 γ:0.20 学習回数:15 ステップ数:22,0.4,0.6,0.2,15,22
ε:0.60 α:0.60 γ:0.70 学習回数:15 ステップ数:22,0.6,0.6,0.7,15,22
ε:0.80 α:0.50 γ:0.30 学習回数:15 ステップ数:22,0.8,0.5,0.3,15,22
ε:0.80 α:0.80 γ:0.40 学習回数:15 ステップ数:22,0.8,0.8,0.4,15,22
ε:0.80 α:0.70 γ:0.20 学習回数:15 ステップ数:22,0.8,0.7,0.2,15,22
ε:0.60 α:0.50 γ:0.70 学習回数:15 ステップ数:22,0.6,0.5,0.7,15,22
ε:0.90 α:0.70 γ:0.80 学習回数:15 ステップ数:22,0.9,0.7,0.8,15,22
ε:0.80 α:0.90 γ:0.50 学習回数:15 ステップ数:22,0.8,0.9,0.5,15,22
ε:0.60 α:0.40 γ:0.60 学習回数:15 ステップ数:22,0.6,0.4,0.6,15,22
ε:0.20 α:0.70 γ:0.10 学習回数:15 ステップ数:22,0.2,0.7,0.1,15,22
ε:0.60 α:0.40 γ:0.60 学習回数:16 ステップ数:22,0.6,0.4,0.6,16,22
ε:0.90 α:0.60 γ:0.10 学習回数:16 ステップ数:22,0.9,0.6,0.1,16,22
ε:0.30 α:0.90 γ:0.30 学習回数:16 ステップ数:22,0.3,0.9,0.3,16,22
ε:0.60 α:0.30 γ:0.50 学習回数:16 ステップ数:22,0.6,0.3,0.5,16,22
ε:0.50 α:0.70 γ:0.40 学習回数:16 ステップ数:22,0.5,0.7,0.4,16,22
ε:0.90 α:0.90 γ:0.50 学習回数:16 ステップ数:22,0.9,0.9,0.5,16,22
ε:0.80 α:0.30 γ:0.20 学習回数:16 ステップ数:22,0.8,0.3,0.2,16,22
ε:0.60 α:0.40 γ:0.10 学習回数:16 ステップ数:22,0.6,0.4,0.1,16,22
ε:0.90 α:0.40 γ:0.20 学習回数:16 ステップ数:22,0.9,0.4,0.2,16,22
ε:0.40 α:0.90 γ:0.90 学習回数:16 ステップ数:22,0.4,0.9,0.9,16,22
ε:0.40 α:0.90 γ:0.20 学習回数:16 ステップ数:22,0.4,0.9,0.2,16,22
ε:0.80 α:0.30 γ:0.80 学習回数:16 ステップ数:22,0.8,0.3,0.8,16,22
ε:0.50 α:0.50 γ:0.10 学習回数:16 ステップ数:22,0.5,0.5,0.1,16,22
ε:0.80 α:0.60 γ:0.10 学習回数:16 ステップ数:22,0.8,0.6,0.1,16,22
ε:0.50 α:0.70 γ:0.50 学習回数:16 ステップ数:22,0.5,0.7,0.5,16,22
ε:0.40 α:0.70 γ:0.10 学習回数:16 ステップ数:22,0.4,0.7,0.1,16,22
ε:0.70 α:0.50 γ:0.10 学習回数:16 ステップ数:22,0.7,0.5,0.1,16,22
ε:0.80 α:0.60 γ:0.40 学習回数:16 ステップ数:22,0.8,0.6,0.4,16,22
ε:0.80 α:0.30 γ:0.30 学習回数:16 ステップ数:22,0.8,0.3,0.3,16,22
ε:0.80 α:0.30 γ:0.10 学習回数:16 ステップ数:22,0.8,0.3,0.1,16,22
ε:0.80 α:0.30 γ:0.40 学習回数:16 ステップ数:22,0.8,0.3,0.4,16,22
ε:0.50 α:0.50 γ:0.60 学習回数:16 ステップ数:22,0.5,0.5,0.6,16,22
ε:0.40 α:0.90 γ:0.30 学習回数:16 ステップ数:22,0.4,0.9,0.3,16,22
ε:0.80 α:0.50 γ:0.40 学習回数:16 ステップ数:22,0.8,0.5,0.4,16,22
ε:0.60 α:0.80 γ:0.20 学習回数:16 ステップ数:22,0.6,0.8,0.2,16,22
ε:0.80 α:0.90 γ:0.30 学習回数:16 ステップ数:22,0.8,0.9,0.3,16,22
ε:0.90 α:0.80 γ:0.70 学習回数:16 ステップ数:22,0.9,0.8,0.7,16,22
ε:0.60 α:0.50 γ:0.20 学習回数:16 ステップ数:22,0.6,0.5,0.2,16,22
ε:0.70 α:0.40 γ:0.60 学習回数:16 ステップ数:22,0.7,0.4,0.6,16,22
ε:0.50 α:0.70 γ:0.70 学習回数:16 ステップ数:22,0.5,0.7,0.7,16,22
ε:0.40 α:0.60 γ:0.70 学習回数:17 ステップ数:22,0.4,0.6,0.7,17,22
ε:0.70 α:0.20 γ:0.80 学習回数:17 ステップ数:22,0.7,0.2,0.8,17,22
ε:0.70 α:0.30 γ:0.30 学習回数:17 ステップ数:22,0.7,0.3,0.3,17,22
ε:0.90 α:0.30 γ:0.70 学習回数:17 ステップ数:22,0.9,0.3,0.7,17,22
ε:0.30 α:0.60 γ:0.50 学習回数:17 ステップ数:22,0.3,0.6,0.5,17,22
ε:0.60 α:0.40 γ:0.20 学習回数:17 ステップ数:22,0.6,0.4,0.2,17,22
ε:0.90 α:0.20 γ:0.60 学習回数:17 ステップ数:22,0.9,0.2,0.6,17,22
ε:0.90 α:0.10 γ:0.60 学習回数:17 ステップ数:22,0.9,0.1,0.6,17,22
ε:0.80 α:0.90 γ:0.40 学習回数:17 ステップ数:22,0.8,0.9,0.4,17,22
ε:0.30 α:0.50 γ:0.90 学習回数:17 ステップ数:22,0.3,0.5,0.9,17,22
ε:0.40 α:0.60 γ:0.70 学習回数:17 ステップ数:22,0.4,0.6,0.7,17,22
ε:0.40 α:0.90 γ:0.50 学習回数:17 ステップ数:22,0.4,0.9,0.5,17,22
ε:0.50 α:0.80 γ:0.80 学習回数:17 ステップ数:22,0.5,0.8,0.8,17,22
ε:0.60 α:0.60 γ:0.30 学習回数:17 ステップ数:22,0.6,0.6,0.3,17,22
ε:0.60 α:0.60 γ:0.60 学習回数:17 ステップ数:22,0.6,0.6,0.6,17,22
ε:0.90 α:0.30 γ:0.20 学習回数:17 ステップ数:22,0.9,0.3,0.2,17,22
ε:0.40 α:0.20 γ:0.90 学習回数:17 ステップ数:22,0.4,0.2,0.9,17,22
ε:0.50 α:0.30 γ:0.30 学習回数:17 ステップ数:22,0.5,0.3,0.3,17,22
ε:0.80 α:0.50 γ:0.70 学習回数:17 ステップ数:22,0.8,0.5,0.7,17,22
ε:0.80 α:0.10 γ:0.40 学習回数:17 ステップ数:22,0.8,0.1,0.4,17,22
ε:0.80 α:0.10 γ:0.80 学習回数:17 ステップ数:22,0.8,0.1,0.8,17,22
ε:0.60 α:0.60 γ:0.10 学習回数:17 ステップ数:22,0.6,0.6,0.1,17,22
ε:0.30 α:0.40 γ:0.30 学習回数:17 ステップ数:22,0.3,0.4,0.3,17,22
ε:0.70 α:0.10 γ:0.50 学習回数:17 ステップ数:22,0.7,0.1,0.5,17,22
ε:0.30 α:0.10 γ:0.50 学習回数:17 ステップ数:22,0.3,0.1,0.5,17,22
ε:0.60 α:0.40 γ:0.20 学習回数:17 ステップ数:22,0.6,0.4,0.2,17,22
ε:0.60 α:0.30 γ:0.20 学習回数:17 ステップ数:22,0.6,0.3,0.2,17,22
ε:0.60 α:0.80 γ:0.70 学習回数:17 ステップ数:22,0.6,0.8,0.7,17,22
ε:0.30 α:0.60 γ:0.60 学習回数:17 ステップ数:22,0.3,0.6,0.6,17,22
ε:0.70 α:0.70 γ:0.80 学習回数:17 ステップ数:22,0.7,0.7,0.8,17,22
ε:0.50 α:0.20 γ:0.20 学習回数:17 ステップ数:22,0.5,0.2,0.2,17,22
ε:0.80 α:0.40 γ:0.10 学習回数:17 ステップ数:22,0.8,0.4,0.1,17,22
ε:0.40 α:0.50 γ:0.90 学習回数:17 ステップ数:22,0.4,0.5,0.9,17,22
ε:0.50 α:0.50 γ:0.70 学習回数:17 ステップ数:22,0.5,0.5,0.7,17,22
ε:0.50 α:0.40 γ:0.70 学習回数:17 ステップ数:22,0.5,0.4,0.7,17,22
ε:0.90 α:0.90 γ:0.70 学習回数:17 ステップ数:22,0.9,0.9,0.7,17,22
ε:0.50 α:0.30 γ:0.70 学習回数:18 ステップ数:22,0.5,0.3,0.7,18,22
ε:0.80 α:0.20 γ:0.80 学習回数:18 ステップ数:22,0.8,0.2,0.8,18,22
ε:0.80 α:0.20 γ:0.90 学習回数:18 ステップ数:22,0.8,0.2,0.9,18,22
ε:0.80 α:0.20 γ:0.40 学習回数:18 ステップ数:22,0.8,0.2,0.4,18,22
ε:0.70 α:0.30 γ:0.40 学習回数:18 ステップ数:22,0.7,0.3,0.4,18,22
ε:0.50 α:0.50 γ:0.20 学習回数:18 ステップ数:22,0.5,0.5,0.2,18,22
ε:0.90 α:0.30 γ:0.70 学習回数:18 ステップ数:22,0.9,0.3,0.7,18,22
ε:0.40 α:0.60 γ:0.60 学習回数:18 ステップ数:22,0.4,0.6,0.6,18,22
ε:0.50 α:0.70 γ:0.10 学習回数:18 ステップ数:22,0.5,0.7,0.1,18,22
ε:0.50 α:0.70 γ:0.20 学習回数:18 ステップ数:22,0.5,0.7,0.2,18,22
ε:0.40 α:0.30 γ:0.40 学習回数:18 ステップ数:22,0.4,0.3,0.4,18,22
ε:0.30 α:0.90 γ:0.60 学習回数:18 ステップ数:22,0.3,0.9,0.6,18,22
ε:0.50 α:0.70 γ:0.50 学習回数:18 ステップ数:22,0.5,0.7,0.5,18,22
ε:0.50 α:0.90 γ:0.90 学習回数:18 ステップ数:22,0.5,0.9,0.9,18,22
ε:0.50 α:0.60 γ:0.20 学習回数:18 ステップ数:22,0.5,0.6,0.2,18,22
ε:0.50 α:0.90 γ:0.10 学習回数:18 ステップ数:22,0.5,0.9,0.1,18,22
ε:0.40 α:0.50 γ:0.10 学習回数:18 ステップ数:22,0.4,0.5,0.1,18,22
ε:0.60 α:0.80 γ:0.70 学習回数:18 ステップ数:22,0.6,0.8,0.7,18,22
ε:0.90 α:0.40 γ:0.10 学習回数:18 ステップ数:22,0.9,0.4,0.1,18,22
ε:0.40 α:0.50 γ:0.20 学習回数:18 ステップ数:22,0.4,0.5,0.2,18,22
ε:0.60 α:0.60 γ:0.80 学習回数:18 ステップ数:22,0.6,0.6,0.8,18,22
ε:0.90 α:0.40 γ:0.30 学習回数:18 ステップ数:22,0.9,0.4,0.3,18,22
ε:0.60 α:0.50 γ:0.10 学習回数:18 ステップ数:22,0.6,0.5,0.1,18,22
ε:0.60 α:0.60 γ:0.50 学習回数:18 ステップ数:22,0.6,0.6,0.5,18,22
ε:0.70 α:0.20 γ:0.40 学習回数:18 ステップ数:22,0.7,0.2,0.4,18,22
ε:0.70 α:0.20 γ:0.50 学習回数:18 ステップ数:22,0.7,0.2,0.5,18,22
ε:0.90 α:0.10 γ:0.80 学習回数:18 ステップ数:22,0.9,0.1,0.8,18,22
ε:0.40 α:0.60 γ:0.60 学習回数:18 ステップ数:22,0.4,0.6,0.6,18,22
ε:0.80 α:0.80 γ:0.50 学習回数:18 ステップ数:22,0.8,0.8,0.5,18,22
ε:0.80 α:0.70 γ:0.50 学習回数:18 ステップ数:22,0.8,0.7,0.5,18,22
ε:0.80 α:0.70 γ:0.80 学習回数:18 ステップ数:22,0.8,0.7,0.8,18,22
ε:0.60 α:0.70 γ:0.10 学習回数:18 ステップ数:22,0.6,0.7,0.1,18,22
ε:0.90 α:0.80 γ:0.20 学習回数:18 ステップ数:22,0.9,0.8,0.2,18,22
ε:0.90 α:0.60 γ:0.10 学習回数:18 ステップ数:22,0.9,0.6,0.1,18,22
ε:0.80 α:0.30 γ:0.60 学習回数:18 ステップ数:22,0.8,0.3,0.6,18,22
ε:0.60 α:0.50 γ:0.30 学習回数:18 ステップ数:22,0.6,0.5,0.3,18,22
ε:0.80 α:0.20 γ:0.80 学習回数:18 ステップ数:22,0.8,0.2,0.8,18,22
ε:0.80 α:0.10 γ:0.90 学習回数:18 ステップ数:22,0.8,0.1,0.9,18,22
ε:0.60 α:0.10 γ:0.90 学習回数:18 ステップ数:22,0.6,0.1,0.9,18,22
ε:0.50 α:0.20 γ:0.80 学習回数:19 ステップ数:22,0.5,0.2,0.8,19,22
ε:0.60 α:0.20 γ:0.10 学習回数:19 ステップ数:22,0.6,0.2,0.1,19,22
ε:0.90 α:0.20 γ:0.70 学習回数:19 ステップ数:22,0.9,0.2,0.7,19,22
ε:0.50 α:0.80 γ:0.30 学習回数:19 ステップ数:22,0.5,0.8,0.3,19,22
ε:0.60 α:0.50 γ:0.40 学習回数:19 ステップ数:22,0.6,0.5,0.4,19,22
ε:0.50 α:0.90 γ:0.90 学習回数:19 ステップ数:22,0.5,0.9,0.9,19,22
ε:0.80 α:0.40 γ:0.10 学習回数:19 ステップ数:22,0.8,0.4,0.1,19,22
ε:0.80 α:0.60 γ:0.40 学習回数:19 ステップ数:22,0.8,0.6,0.4,19,22
ε:0.90 α:0.50 γ:0.40 学習回数:19 ステップ数:22,0.9,0.5,0.4,19,22
ε:0.90 α:0.40 γ:0.90 学習回数:19 ステップ数:22,0.9,0.4,0.9,19,22
ε:0.40 α:0.70 γ:0.30 学習回数:19 ステップ数:22,0.4,0.7,0.3,19,22
ε:0.50 α:0.30 γ:0.90 学習回数:19 ステップ数:22,0.5,0.3,0.9,19,22
ε:0.40 α:0.10 γ:0.90 学習回数:19 ステップ数:22,0.4,0.1,0.9,19,22
ε:0.60 α:0.20 γ:0.60 学習回数:19 ステップ数:22,0.6,0.2,0.6,19,22
ε:0.60 α:0.20 γ:0.20 学習回数:19 ステップ数:22,0.6,0.2,0.2,19,22
ε:0.30 α:0.40 γ:0.90 学習回数:19 ステップ数:22,0.3,0.4,0.9,19,22
ε:0.70 α:0.30 γ:0.60 学習回数:19 ステップ数:22,0.7,0.3,0.6,19,22
ε:0.40 α:0.30 γ:0.70 学習回数:19 ステップ数:22,0.4,0.3,0.7,19,22
ε:0.70 α:0.40 γ:0.20 学習回数:19 ステップ数:22,0.7,0.4,0.2,19,22
ε:0.40 α:0.30 γ:0.80 学習回数:20 ステップ数:22,0.4,0.3,0.8,20,22
ε:0.40 α:0.90 γ:0.60 学習回数:20 ステップ数:22,0.4,0.9,0.6,20,22
ε:0.90 α:0.30 γ:0.40 学習回数:20 ステップ数:22,0.9,0.3,0.4,20,22
ε:0.50 α:0.10 γ:0.90 学習回数:20 ステップ数:22,0.5,0.1,0.9,20,22
ε:0.60 α:0.30 γ:0.60 学習回数:20 ステップ数:22,0.6,0.3,0.6,20,22
ε:0.30 α:0.90 γ:0.70 学習回数:20 ステップ数:22,0.3,0.9,0.7,20,22
ε:0.70 α:0.30 γ:0.10 学習回数:20 ステップ数:22,0.7,0.3,0.1,20,22
ε:0.50 α:0.20 γ:0.60 学習回数:20 ステップ数:22,0.5,0.2,0.6,20,22
ε:0.40 α:0.70 γ:0.50 学習回数:20 ステップ数:22,0.4,0.7,0.5,20,22
ε:0.40 α:0.50 γ:0.40 学習回数:20 ステップ数:22,0.4,0.5,0.4,20,22
ε:0.80 α:0.30 γ:0.20 学習回数:20 ステップ数:22,0.8,0.3,0.2,20,22
ε:0.50 α:0.40 γ:0.30 学習回数:20 ステップ数:22,0.5,0.4,0.3,20,22
ε:0.60 α:0.40 γ:0.90 学習回数:20 ステップ数:22,0.6,0.4,0.9,20,22
ε:0.70 α:0.40 γ:0.10 学習回数:20 ステップ数:22,0.7,0.4,0.1,20,22
ε:0.40 α:0.50 γ:0.70 学習回数:20 ステップ数:22,0.4,0.5,0.7,20,22
ε:0.70 α:0.50 γ:0.60 学習回数:20 ステップ数:22,0.7,0.5,0.6,20,22
ε:0.70 α:0.30 γ:0.50 学習回数:20 ステップ数:22,0.7,0.3,0.5,20,22
ε:0.60 α:0.40 γ:0.40 学習回数:20 ステップ数:22,0.6,0.4,0.4,20,22
ε:0.70 α:0.70 γ:0.40 学習回数:20 ステップ数:22,0.7,0.7,0.4,20,22
ε:0.70 α:0.20 γ:0.40 学習回数:21 ステップ数:22,0.7,0.2,0.4,21,22
ε:0.70 α:0.30 γ:0.20 学習回数:21 ステップ数:22,0.7,0.3,0.2,21,22
ε:0.30 α:0.20 γ:0.30 学習回数:21 ステップ数:22,0.3,0.2,0.3,21,22
ε:0.60 α:0.40 γ:0.70 学習回数:21 ステップ数:22,0.6,0.4,0.7,21,22
ε:0.70 α:0.30 γ:0.30 学習回数:21 ステップ数:22,0.7,0.3,0.3,21,22
ε:0.70 α:0.30 γ:0.50 学習回数:21 ステップ数:22,0.7,0.3,0.5,21,22
ε:0.50 α:0.70 γ:0.60 学習回数:21 ステップ数:22,0.5,0.7,0.6,21,22
ε:0.30 α:0.70 γ:0.40 学習回数:21 ステップ数:22,0.3,0.7,0.4,21,22
ε:0.70 α:0.20 γ:0.50 学習回数:21 ステップ数:22,0.7,0.2,0.5,21,22
ε:0.60 α:0.80 γ:0.40 学習回数:21 ステップ数:22,0.6,0.8,0.4,21,22
ε:0.80 α:0.20 γ:0.60 学習回数:21 ステップ数:22,0.8,0.2,0.6,21,22
ε:0.80 α:0.60 γ:0.10 学習回数:21 ステップ数:22,0.8,0.6,0.1,21,22
ε:0.80 α:0.10 γ:0.70 学習回数:21 ステップ数:22,0.8,0.1,0.7,21,22
ε:0.90 α:0.60 γ:0.20 学習回数:21 ステップ数:22,0.9,0.6,0.2,21,22
ε:0.90 α:0.10 γ:0.70 学習回数:21 ステップ数:22,0.9,0.1,0.7,21,22
ε:0.60 α:0.20 γ:0.70 学習回数:21 ステップ数:22,0.6,0.2,0.7,21,22
ε:0.60 α:0.20 γ:0.40 学習回数:21 ステップ数:22,0.6,0.2,0.4,21,22
ε:0.70 α:0.20 γ:0.60 学習回数:21 ステップ数:22,0.7,0.2,0.6,21,22
ε:0.20 α:0.10 γ:0.60 学習回数:21 ステップ数:22,0.2,0.1,0.6,21,22
ε:0.70 α:0.40 γ:0.30 学習回数:21 ステップ数:22,0.7,0.4,0.3,21,22
ε:0.60 α:0.40 γ:0.30 学習回数:21 ステップ数:22,0.6,0.4,0.3,21,22
ε:0.80 α:0.20 γ:0.60 学習回数:21 ステップ数:22,0.8,0.2,0.6,21,22
ε:0.40 α:0.20 γ:0.30 学習回数:21 ステップ数:22,0.4,0.2,0.3,21,22
ε:0.60 α:0.10 γ:0.60 学習回数:22 ステップ数:22,0.6,0.1,0.6,22,22
ε:0.20 α:0.20 γ:0.30 学習回数:22 ステップ数:22,0.2,0.2,0.3,22,22
ε:0.70 α:0.50 γ:0.20 学習回数:22 ステップ数:22,0.7,0.5,0.2,22,22
ε:0.30 α:0.10 γ:0.90 学習回数:22 ステップ数:22,0.3,0.1,0.9,22,22
ε:0.60 α:0.60 γ:0.90 学習回数:22 ステップ数:22,0.6,0.6,0.9,22,22
ε:0.90 α:0.30 γ:0.30 学習回数:22 ステップ数:22,0.9,0.3,0.3,22,22
ε:0.30 α:0.70 γ:0.20 学習回数:22 ステップ数:22,0.3,0.7,0.2,22,22
ε:0.70 α:0.90 γ:0.70 学習回数:22 ステップ数:22,0.7,0.9,0.7,22,22
ε:0.40 α:0.10 γ:0.50 学習回数:22 ステップ数:22,0.4,0.1,0.5,22,22
ε:0.90 α:0.10 γ:0.70 学習回数:22 ステップ数:22,0.9,0.1,0.7,22,22
ε:0.80 α:0.70 γ:0.50 学習回数:22 ステップ数:22,0.8,0.7,0.5,22,22
ε:0.80 α:0.20 γ:0.50 学習回数:22 ステップ数:22,0.8,0.2,0.5,22,22
ε:0.70 α:0.70 γ:0.50 学習回数:22 ステップ数:22,0.7,0.7,0.5,22,22
ε:0.30 α:0.40 γ:0.40 学習回数:22 ステップ数:22,0.3,0.4,0.4,22,22
ε:0.40 α:0.30 γ:0.60 学習回数:22 ステップ数:22,0.4,0.3,0.6,22,22
ε:0.90 α:0.40 γ:0.20 学習回数:22 ステップ数:22,0.9,0.4,0.2,22,22
ε:0.40 α:0.70 γ:0.70 学習回数:22 ステップ数:22,0.4,0.7,0.7,22,22
ε:0.40 α:0.70 γ:0.40 学習回数:22 ステップ数:22,0.4,0.7,0.4,22,22
ε:0.40 α:0.70 γ:0.40 学習回数:22 ステップ数:22,0.4,0.7,0.4,22,22
ε:0.40 α:0.40 γ:0.10 学習回数:23 ステップ数:22,0.4,0.4,0.1,23,22
ε:0.50 α:0.20 γ:0.90 学習回数:23 ステップ数:22,0.5,0.2,0.9,23,22
ε:0.90 α:0.20 γ:0.80 学習回数:23 ステップ数:22,0.9,0.2,0.8,23,22
ε:0.90 α:0.40 γ:0.10 学習回数:23 ステップ数:22,0.9,0.4,0.1,23,22
ε:0.50 α:0.40 γ:0.60 学習回数:23 ステップ数:22,0.5,0.4,0.6,23,22
ε:0.40 α:0.30 γ:0.70 学習回数:23 ステップ数:22,0.4,0.3,0.7,23,22
ε:0.40 α:0.50 γ:0.40 学習回数:23 ステップ数:22,0.4,0.5,0.4,23,22
ε:0.60 α:0.40 γ:0.30 学習回数:23 ステップ数:22,0.6,0.4,0.3,23,22
ε:0.40 α:0.40 γ:0.40 学習回数:23 ステップ数:22,0.4,0.4,0.4,23,22
ε:0.50 α:0.30 γ:0.40 学習回数:23 ステップ数:22,0.5,0.3,0.4,23,22
ε:0.60 α:0.20 γ:0.70 学習回数:23 ステップ数:22,0.6,0.2,0.7,23,22
ε:0.70 α:0.10 γ:0.70 学習回数:23 ステップ数:22,0.7,0.1,0.7,23,22
ε:0.60 α:0.30 γ:0.70 学習回数:23 ステップ数:22,0.6,0.3,0.7,23,22
ε:0.50 α:0.90 γ:0.70 学習回数:23 ステップ数:22,0.5,0.9,0.7,23,22
ε:0.80 α:0.70 γ:0.30 学習回数:23 ステップ数:22,0.8,0.7,0.3,23,22
ε:0.60 α:0.70 γ:0.80 学習回数:23 ステップ数:22,0.6,0.7,0.8,23,22
ε:0.50 α:0.80 γ:0.60 学習回数:23 ステップ数:22,0.5,0.8,0.6,23,22
ε:0.80 α:0.20 γ:0.70 学習回数:23 ステップ数:22,0.8,0.2,0.7,23,22
ε:0.70 α:0.10 γ:0.80 学習回数:23 ステップ数:22,0.7,0.1,0.8,23,22
